Object IoU threshold,IoU_mean,IoU_std,Category
0.5,0.5295384615384615,0.11250823331695582,Cellbound1
0.55,0.49315384615384616,0.12524299458375984,Cellbound1
0.6,0.44,0.12806443690580147,Cellbound1
0.65,0.38153846153846155,0.12396344581139997,Cellbound1
0.7,0.32176923076923075,0.11187727937801152,Cellbound1
0.75,0.2651538461538462,0.11236981070988043,Cellbound1
0.8,0.18207692307692308,0.08837369663203105,Cellbound1
0.85,0.10230769230769231,0.06573353357227525,Cellbound1
0.9,0.03330769230769231,0.02997605882306916,Cellbound1
0.95,0.0017692307692307693,0.00303188187307944,Cellbound1
1.0,0.0,0.0,Cellbound1
0.5,0.3394615384615385,0.08496137885790164,Cellbound2
0.55,0.28384615384615386,0.07562059480706534,Cellbound2
0.6,0.22323076923076923,0.07493458685875506,Cellbound2
0.65,0.16815384615384615,0.06094375296649384,Cellbound2
0.7,0.11015384615384614,0.04870291940915205,Cellbound2
0.75,0.06938461538461539,0.03224008493976213,Cellbound2
0.8,0.032692307692307694,0.023389401500767446,Cellbound2
0.85,0.010846153846153847,0.011364023303435526,Cellbound2
0.9,0.0011325461538461538,0.00227024747792518,Cellbound2
0.95,0.0003076923076923077,0.0011094003924504582,Cellbound2
1.0,0.0,0.0,Cellbound2
0.5,0.5120769230769231,0.0699278932644925,PolyT
0.55,0.4686923076923077,0.08327403018086793,PolyT
0.6,0.4182307692307692,0.10150710471534641,PolyT
0.65,0.3617692307692308,0.0924158661036746,PolyT
0.7,0.305,0.08034923770640266,PolyT
0.75,0.24523076923076925,0.07732200403308431,PolyT
0.8,0.15915384615384615,0.055294433345268665,PolyT
0.85,0.08092307692307693,0.04581204633874795,PolyT
0.9,0.020615384615384615,0.011594096641096145,PolyT
0.95,0.0014615384615384616,0.003071790591153218,PolyT
1.0,0.0,0.0,PolyT
0.5,0.712,0.07016528106312028,"Sum(Cellbound 1, 3)"
0.55,0.6954615384615385,0.06858038517513029,"Sum(Cellbound 1, 3)"
0.6,0.6642307692307692,0.07171140523672397,"Sum(Cellbound 1, 3)"
0.65,0.6200769230769231,0.09145532747236174,"Sum(Cellbound 1, 3)"
0.7,0.5805384615384616,0.0937057587919186,"Sum(Cellbound 1, 3)"
0.75,0.5306923076923077,0.10913324013591873,"Sum(Cellbound 1, 3)"
0.8,0.4730769230769231,0.10916536503432268,"Sum(Cellbound 1, 3)"
0.85,0.36469230769230765,0.109447388133435,"Sum(Cellbound 1, 3)"
0.9,0.21492307692307694,0.08232604037044976,"Sum(Cellbound 1, 3)"
0.95,0.04161538461538462,0.029982045909561893,"Sum(Cellbound 1, 3)"
1.0,0.0,0.0,"Sum(Cellbound 1, 3)"
0.5,0.5933846153846154,0.08639689275039397,"Max(Cellbound 1, 3)"
0.55,0.5625384615384615,0.08665315476524342,"Max(Cellbound 1, 3)"
0.6,0.5239230769230769,0.08638910187678145,"Max(Cellbound 1, 3)"
0.65,0.46415384615384614,0.09523553796932999,"Max(Cellbound 1, 3)"
0.7,0.40792307692307694,0.09462422306018471,"Max(Cellbound 1, 3)"
0.75,0.3515384615384616,0.0891586744561023,"Max(Cellbound 1, 3)"
0.8,0.2672307692307692,0.0791076838304955,"Max(Cellbound 1, 3)"
0.85,0.17323076923076922,0.06951157439131253,"Max(Cellbound 1, 3)"
0.9,0.07746153846153846,0.05450017642878993,"Max(Cellbound 1, 3)"
0.95,0.013153846153846153,0.015148411103952748,"Max(Cellbound 1, 3)"
1.0,0.0,0.0,"Max(Cellbound 1, 3)"
