Object IoU threshold,IoU_mean,IoU_std,Category
0.5,0.19416666666666668,0.14898006781465972,Cellbound1
0.55,0.17066666666666666,0.13997099266590488,Cellbound1
0.6,0.14091666666666666,0.1220800470133751,Cellbound1
0.65,0.12266666666666666,0.10765376599698374,Cellbound1
0.7,0.09666666666666666,0.09005385594019265,Cellbound1
0.75,0.078,0.07143337646175821,Cellbound1
0.8,0.048249999999999994,0.04699927465591164,Cellbound1
0.85,0.02875,0.02487834034218959,Cellbound1
0.9,0.009583333333333333,0.01143724643699724,Cellbound1
0.95,0.0009166666666666666,0.0031754264805429412,Cellbound1
1.0,0.0,0.0,Cellbound1
0.5,0.06941666666666667,0.09629260174860346,Cellbound2
0.55,0.05983333333333333,0.09171579950470843,Cellbound2
0.6,0.042833333333333334,0.06826263896735811,Cellbound2
0.65,0.028833333333333336,0.0449622737481776,Cellbound2
0.7,0.019156691666666666,0.032150256468295814,Cellbound2
0.75,0.01325,0.023622504678224267,Cellbound2
0.8,0.007166666666666666,0.015455704056392508,Cellbound2
0.85,0.005833333333333334,0.01291815729424239,Cellbound2
0.9,0.0014999999999999998,0.0035032452487268532,Cellbound2
0.95,0.0,0.0,Cellbound2
1.0,0.0,0.0,Cellbound2
0.5,0.2314166666666667,0.12404798069759747,PolyT
0.55,0.19741666666666668,0.10704243706742357,PolyT
0.6,0.17541666666666667,0.09252464864056824,PolyT
0.65,0.15758333333333333,0.08044586924626944,PolyT
0.7,0.12383333333333334,0.07567133879581829,PolyT
0.75,0.10208333333333335,0.0718096705735292,PolyT
0.8,0.08458333333333334,0.07166900982779775,PolyT
0.85,0.051916666666666667,0.055166620891677426,PolyT
0.9,0.02725,0.03577994613543382,PolyT
0.95,0.0036666666666666666,0.006005048381204439,PolyT
1.0,0.0,0.0,PolyT
0.5,0.48433333333333334,0.213485504440139,"Sum(Cellbound 1, 3)"
0.55,0.47141666666666665,0.20964318532095227,"Sum(Cellbound 1, 3)"
0.6,0.44166666666666665,0.21284280726879312,"Sum(Cellbound 1, 3)"
0.65,0.4274166666666666,0.2149746109040166,"Sum(Cellbound 1, 3)"
0.7,0.38766666666666666,0.19730195286935354,"Sum(Cellbound 1, 3)"
0.75,0.3621666666666667,0.18583709059933173,"Sum(Cellbound 1, 3)"
0.8,0.32908333333333334,0.17689568489178398,"Sum(Cellbound 1, 3)"
0.85,0.27875,0.16582253657559226,"Sum(Cellbound 1, 3)"
0.9,0.21383333333333332,0.14676377639119967,"Sum(Cellbound 1, 3)"
0.95,0.08108333333333333,0.07350133991769789,"Sum(Cellbound 1, 3)"
1.0,0.0,0.0,"Sum(Cellbound 1, 3)"
0.5,0.48475,0.2134807315128762,"Max(Cellbound 1, 3)"
0.55,0.46608333333333335,0.20767958639707612,"Max(Cellbound 1, 3)"
0.6,0.4330833333333333,0.20452626340947616,"Max(Cellbound 1, 3)"
0.65,0.40291666666666665,0.20237294929426858,"Max(Cellbound 1, 3)"
0.7,0.37666666666666665,0.20656336616744084,"Max(Cellbound 1, 3)"
0.75,0.35308333333333336,0.20724358015425115,"Max(Cellbound 1, 3)"
0.8,0.32075000000000004,0.19048365475093323,"Max(Cellbound 1, 3)"
0.85,0.28041666666666665,0.17757992225440009,"Max(Cellbound 1, 3)"
0.9,0.20933333333333334,0.14627081566447736,"Max(Cellbound 1, 3)"
0.95,0.09216666666666667,0.08516063253248729,"Max(Cellbound 1, 3)"
1.0,0.0,0.0,"Max(Cellbound 1, 3)"
