Object IoU threshold,IoU_mean,IoU_std,Category
0.5,0.6636923076923077,0.08363550344140604,"Sum(Cellbound 1, 3)"
0.55,0.6384615384615385,0.08433328265935437,"Sum(Cellbound 1, 3)"
0.6,0.6093076923076923,0.08388919737306726,"Sum(Cellbound 1, 3)"
0.65,0.5742307692307692,0.08279910813343527,"Sum(Cellbound 1, 3)"
0.7,0.5363076923076923,0.08392793001079815,"Sum(Cellbound 1, 3)"
0.75,0.491,0.08453894566017094,"Sum(Cellbound 1, 3)"
0.8,0.42976923076923074,0.08469666841751003,"Sum(Cellbound 1, 3)"
0.85,0.3426153846153846,0.07714438677088835,"Sum(Cellbound 1, 3)"
0.9,0.20884615384615385,0.05915212894710011,"Sum(Cellbound 1, 3)"
0.95,0.0516923076923077,0.030089822796045773,"Sum(Cellbound 1, 3)"
1.0,0.0,0.0,"Sum(Cellbound 1, 3)"
0.5,0.5960769230769232,0.0795617805423994,"Max(Cellbound 1, 3)"
0.55,0.566,0.07822190656501969,"Max(Cellbound 1, 3)"
0.6,0.5277692307692308,0.07875717305548936,"Max(Cellbound 1, 3)"
0.65,0.48223076923076924,0.07776798167857368,"Max(Cellbound 1, 3)"
0.7,0.4312307692307692,0.07961171798815574,"Max(Cellbound 1, 3)"
0.75,0.37115384615384617,0.07891751617337155,"Max(Cellbound 1, 3)"
0.8,0.30146153846153845,0.07532000108936908,"Max(Cellbound 1, 3)"
0.85,0.2169230769230769,0.07152675669340054,"Max(Cellbound 1, 3)"
0.9,0.12430769230769231,0.06502228414857046,"Max(Cellbound 1, 3)"
0.95,0.04584615384615384,0.04253399846759091,"Max(Cellbound 1, 3)"
1.0,0.0,0.0,"Max(Cellbound 1, 3)"
