Embryo,Truth image,Test image,Slice number,Truth objects,Test objects,Object IoU threshold,Object TP,Object FP,Object FN,Object Precision,Object Recall/Sensitivity,Object Jaccard Index,Object F-measure
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,added_image_z3_DAPI_mask_ecto.tif,1,281,250,0.5,227,23,54,0.908,0.808,0.747,0.855
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,added_image_z3_DAPI_mask_ecto.tif,1,281,250,0.55,224,26,57,0.896,0.797,0.73,0.844
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,added_image_z3_DAPI_mask_ecto.tif,1,281,250,0.6,220,30,61,0.88,0.783,0.707,0.829
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,added_image_z3_DAPI_mask_ecto.tif,1,281,250,0.65,218,32,63,0.872,0.776,0.696,0.821
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,added_image_z3_DAPI_mask_ecto.tif,1,281,250,0.7,210,40,71,0.84,0.747,0.654,0.791
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,added_image_z3_DAPI_mask_ecto.tif,1,281,250,0.75,203,47,78,0.812,0.722,0.619,0.765
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,added_image_z3_DAPI_mask_ecto.tif,1,281,250,0.8,187,63,94,0.748,0.665,0.544,0.704
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,added_image_z3_DAPI_mask_ecto.tif,1,281,250,0.85,159,91,122,0.636,0.566,0.427,0.599
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,added_image_z3_DAPI_mask_ecto.tif,1,281,250,0.9,104,146,177,0.416,0.37,0.244,0.392
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,added_image_z3_DAPI_mask_ecto.tif,1,281,250,0.95,29,221,252,0.116,0.103,0.058,0.109
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,added_image_z3_DAPI_mask_ecto.tif,1,281,250,1.0,0,250,281,0.0,0.0,0.0,
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,average_image_z3_DAPI_mask_ecto.tif,1,281,246,0.5,220,26,61,0.894,0.783,0.717,0.835
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,average_image_z3_DAPI_mask_ecto.tif,1,281,246,0.55,219,27,62,0.89,0.779,0.711,0.831
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,average_image_z3_DAPI_mask_ecto.tif,1,281,246,0.6,216,30,65,0.878,0.769,0.695,0.82
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,average_image_z3_DAPI_mask_ecto.tif,1,281,246,0.65,212,34,69,0.862,0.754,0.673,0.805
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,average_image_z3_DAPI_mask_ecto.tif,1,281,246,0.7,207,39,74,0.841,0.737,0.647,0.786
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,average_image_z3_DAPI_mask_ecto.tif,1,281,246,0.75,197,49,84,0.801,0.701,0.597,0.748
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,average_image_z3_DAPI_mask_ecto.tif,1,281,246,0.8,184,62,97,0.748,0.655,0.536,0.698
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,average_image_z3_DAPI_mask_ecto.tif,1,281,246,0.85,156,90,125,0.634,0.555,0.42,0.592
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,average_image_z3_DAPI_mask_ecto.tif,1,281,246,0.9,112,134,169,0.455,0.399,0.27,0.425
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,average_image_z3_DAPI_mask_ecto.tif,1,281,246,0.95,25,221,256,0.102,0.089,0.05,0.095
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,average_image_z3_DAPI_mask_ecto.tif,1,281,246,1.0,0,246,281,0.0,0.0,0.0,
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,max_image_z3_DAPI_mask_ecto.tif,1,281,216,0.5,188,28,93,0.87,0.669,0.608,0.757
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,max_image_z3_DAPI_mask_ecto.tif,1,281,216,0.55,183,33,98,0.847,0.651,0.583,0.736
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,max_image_z3_DAPI_mask_ecto.tif,1,281,216,0.6,181,35,100,0.838,0.644,0.573,0.728
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,max_image_z3_DAPI_mask_ecto.tif,1,281,216,0.65,173,43,108,0.801,0.616,0.534,0.696
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,max_image_z3_DAPI_mask_ecto.tif,1,281,216,0.7,165,51,116,0.764,0.587,0.497,0.664
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,max_image_z3_DAPI_mask_ecto.tif,1,281,216,0.75,160,56,121,0.741,0.569,0.475,0.644
