Embryo,Truth image,Test image,Slice number,Truth objects,Test objects,Object IoU threshold,Object TP,Object FP,Object FN,Object Precision,Object Recall/Sensitivity,Object Jaccard Index,Object F-measure
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,added_image_z3_DAPI_mask_endo.tif,1,48,50,0.5,42,8,6,0.84,0.875,0.75,0.857
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,added_image_z3_DAPI_mask_endo.tif,1,48,50,0.55,41,9,7,0.82,0.854,0.719,0.837
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,added_image_z3_DAPI_mask_endo.tif,1,48,50,0.6,41,9,7,0.82,0.854,0.719,0.837
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,added_image_z3_DAPI_mask_endo.tif,1,48,50,0.65,41,9,7,0.82,0.854,0.719,0.837
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,added_image_z3_DAPI_mask_endo.tif,1,48,50,0.7,40,10,8,0.8,0.833,0.69,0.816
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,added_image_z3_DAPI_mask_endo.tif,1,48,50,0.75,36,14,12,0.72,0.75,0.581,0.735
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,added_image_z3_DAPI_mask_endo.tif,1,48,50,0.8,36,14,12,0.72,0.75,0.581,0.735
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,added_image_z3_DAPI_mask_endo.tif,1,48,50,0.85,34,16,14,0.68,0.708,0.531,0.694
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,added_image_z3_DAPI_mask_endo.tif,1,48,50,0.9,30,20,18,0.6,0.625,0.441,0.612
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,added_image_z3_DAPI_mask_endo.tif,1,48,50,0.95,7,43,41,0.14,0.146,0.077,0.143
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,added_image_z3_DAPI_mask_endo.tif,1,48,50,1.0,0,50,48,0.0,0.0,0.0,
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,average_image_z3_DAPI_mask_endo.tif,1,48,44,0.5,39,5,9,0.886,0.812,0.736,0.848
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,average_image_z3_DAPI_mask_endo.tif,1,48,44,0.55,38,6,10,0.864,0.792,0.704,0.826
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,average_image_z3_DAPI_mask_endo.tif,1,48,44,0.6,37,7,11,0.841,0.771,0.673,0.804
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,average_image_z3_DAPI_mask_endo.tif,1,48,44,0.65,37,7,11,0.841,0.771,0.673,0.804
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,average_image_z3_DAPI_mask_endo.tif,1,48,44,0.7,37,7,11,0.841,0.771,0.673,0.804
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,average_image_z3_DAPI_mask_endo.tif,1,48,44,0.75,37,7,11,0.841,0.771,0.673,0.804
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,average_image_z3_DAPI_mask_endo.tif,1,48,44,0.8,35,9,13,0.795,0.729,0.614,0.761
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,average_image_z3_DAPI_mask_endo.tif,1,48,44,0.85,33,11,15,0.75,0.688,0.559,0.717
