Embryo,Truth image,Test image,Slice number,Truth objects,Test objects,Object IoU threshold,Object TP,Object FP,Object FN,Object Precision,Object Recall/Sensitivity,Object Jaccard Index,Object F-measure
Embryo01,mosaic_Cellbound3_z3_DAPI_mask.tif,added_image_z3_DAPI_mask.tif,1,1560,1535,0.5,1291,244,269,0.841,0.828,0.716,0.834
Embryo01,mosaic_Cellbound3_z3_DAPI_mask.tif,added_image_z3_DAPI_mask.tif,1,1560,1535,0.55,1271,264,289,0.828,0.815,0.697,0.821
Embryo01,mosaic_Cellbound3_z3_DAPI_mask.tif,added_image_z3_DAPI_mask.tif,1,1560,1535,0.6,1236,299,324,0.805,0.792,0.665,0.799
Embryo01,mosaic_Cellbound3_z3_DAPI_mask.tif,added_image_z3_DAPI_mask.tif,1,1560,1535,0.65,1191,344,369,0.776,0.763,0.626,0.77
Embryo01,mosaic_Cellbound3_z3_DAPI_mask.tif,added_image_z3_DAPI_mask.tif,1,1560,1535,0.7,1135,400,425,0.739,0.728,0.579,0.733
Embryo01,mosaic_Cellbound3_z3_DAPI_mask.tif,added_image_z3_DAPI_mask.tif,1,1560,1535,0.75,1086,449,474,0.707,0.696,0.541,0.702
Embryo01,mosaic_Cellbound3_z3_DAPI_mask.tif,added_image_z3_DAPI_mask.tif,1,1560,1535,0.8,1014,521,546,0.661,0.65,0.487,0.655
Embryo01,mosaic_Cellbound3_z3_DAPI_mask.tif,added_image_z3_DAPI_mask.tif,1,1560,1535,0.85,896,639,664,0.584,0.574,0.407,0.579
Embryo01,mosaic_Cellbound3_z3_DAPI_mask.tif,added_image_z3_DAPI_mask.tif,1,1560,1535,0.9,623,912,937,0.406,0.399,0.252,0.403
Embryo01,mosaic_Cellbound3_z3_DAPI_mask.tif,added_image_z3_DAPI_mask.tif,1,1560,1535,0.95,165,1370,1395,0.107,0.106,0.056,0.107
Embryo01,mosaic_Cellbound3_z3_DAPI_mask.tif,added_image_z3_DAPI_mask.tif,1,1560,1535,1.0,0,1535,1560,0.0,0.0,0.0,
Embryo01,mosaic_Cellbound3_z3_DAPI_mask.tif,average_image_z3_DAPI_mask.tif,1,1560,1536,0.5,1288,248,272,0.839,0.826,0.712,0.832
Embryo01,mosaic_Cellbound3_z3_DAPI_mask.tif,average_image_z3_DAPI_mask.tif,1,1560,1536,0.55,1267,269,293,0.825,0.812,0.693,0.818
Embryo01,mosaic_Cellbound3_z3_DAPI_mask.tif,average_image_z3_DAPI_mask.tif,1,1560,1536,0.6,1238,298,322,0.806,0.794,0.666,0.8
Embryo01,mosaic_Cellbound3_z3_DAPI_mask.tif,average_image_z3_DAPI_mask.tif,1,1560,1536,0.65,1191,345,369,0.775,0.763,0.625,0.769
Embryo01,mosaic_Cellbound3_z3_DAPI_mask.tif,average_image_z3_DAPI_mask.tif,1,1560,1536,0.7,1146,390,414,0.746,0.735,0.588,0.74
Embryo01,mosaic_Cellbound3_z3_DAPI_mask.tif,average_image_z3_DAPI_mask.tif,1,1560,1536,0.75,1094,442,466,0.712,0.701,0.546,0.707
Embryo01,mosaic_Cellbound3_z3_DAPI_mask.tif,average_image_z3_DAPI_mask.tif,1,1560,1536,0.8,1025,511,535,0.667,0.657,0.495,0.662
Embryo01,mosaic_Cellbound3_z3_DAPI_mask.tif,average_image_z3_DAPI_mask.tif,1,1560,1536,0.85,887,649,673,0.577,0.569,0.402,0.573
