cell,ACTC1.L,CD44.L,CDH1.S,CDX4.L,CHRD.1.S,DLX2.L,DLX3.L,EGR2.L,ELAVL3.L,EPHA2.L,EPHA4.L,EYA1.L,FOXC2.L,GATA2.L,GBX2.2.L,HNF1B.L,HOXA3.S,HOXC10.L,HOXD3.L,KRT12.4.L,MAFB.S,MSX1.L,MSX2.L,MYL1.L,MYOD1.S,NOG.L,OLIG4.L,OTX2.S,PAX3.S,PAX6.S,PAX7.L,PITX1.L,RAX.L,SIX1.L,SNAI1.S,SNAI2.L,SOX10.L,SOX17A.S,SOX2.L,SOX3.S,SOX8.L,SOX9.S,TFAP2A.L,TFAP2C.L,TP63.L,VENTX2.1.L,TBXT.S,ZIC1.S,OLIG3.S,EYA2.S,HOXB6.S,HOXB9.S,HOXC9.S,HOXD11.L
2685806100002100001,0,0,32,0,0,0,6,0,0,3,1,1,1,34,4,1,3,0,0,634,0,6,0,0,0,2,0,4,0,2,0,1,0,5,0,1,0,1,0,0,0,1,13,37,0,1,0,0,0,1,0,1,0,0
2685806100002100002,1,2,95,0,0,1,7,1,0,6,3,9,1,70,12,0,0,0,1,111,2,0,0,0,0,2,0,2,0,0,0,1,0,9,1,0,1,1,1,26,0,7,27,53,0,1,0,0,1,0,0,0,0,0
2685806100002100003,0,0,24,0,0,0,1,0,0,0,1,3,0,8,0,0,0,0,1,357,0,3,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,2,1,1,6,2,25,0,0,0,0,1,1,0,0,0,0
2685806100002100004,2,0,16,0,0,0,9,1,0,3,2,4,0,17,29,0,0,0,2,120,0,1,4,0,0,0,1,2,1,0,0,0,1,31,3,2,2,0,1,11,1,1,18,49,2,1,0,1,0,2,1,0,0,0
2685806100002100005,1,1,44,0,0,1,7,0,0,23,12,1,0,6,5,0,0,1,1,108,3,2,1,0,0,1,0,1,0,1,1,0,0,46,17,0,0,1,2,13,2,0,34,44,1,0,0,0,0,3,1,0,0,1
2685806100002100006,0,0,18,0,0,0,3,0,0,0,0,0,0,9,1,1,1,0,0,266,0,1,0,1,0,1,0,1,0,0,0,0,0,4,0,0,1,0,1,1,0,7,1,23,0,0,0,1,0,1,0,0,0,0
2685806100002100007,1,0,20,0,0,0,8,1,0,5,0,1,0,11,0,0,0,0,0,487,0,2,0,0,0,1,1,1,0,0,0,0,0,4,0,0,0,0,0,3,0,1,4,41,0,0,0,0,1,1,0,0,0,0
2685806100002100011,1,0,20,0,0,0,3,0,0,1,2,1,0,2,0,0,0,1,0,34,2,0,0,1,0,2,0,0,0,0,0,0,0,20,13,0,1,0,3,10,0,0,18,18,0,0,0,0,0,1,0,0,0,0
2685806100002100012,0,1,24,0,0,0,2,0,0,7,9,2,0,3,0,0,0,1,0,31,0,0,0,0,0,0,0,0,0,0,0,0,1,15,3,0,0,0,5,3,0,0,10,10,0,1,0,1,1,0,0,0,0,1
2685806100008100001,1,4,46,0,1,56,41,2,0,5,41,0,0,20,1,1,0,0,0,19,0,1,0,2,2,0,0,12,1,0,1,346,2,0,1,0,0,0,1,2,1,0,4,5,1,0,1,0,0,1,1,0,0,0
2685806100008100002,1,5,27,0,0,47,16,0,0,5,15,0,1,21,0,0,2,0,0,24,0,0,0,0,0,1,0,6,0,0,0,93,0,0,1,0,0,1,0,0,0,0,3,5,2,0,0,1,0,0,0,0,0,0
2685806100008100003,2,2,21,0,0,25,11,0,0,3,5,0,0,5,0,1,0,1,0,8,0,0,0,0,0,0,0,3,0,0,0,78,1,0,1,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0
